"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"20-Apr-2015",8618.8,8619.95,8422.75,8448.1,154492312,8930.38
"21-Apr-2015",8416.1,8469.35,8352.7,8377.75,418959074,32873.45
"22-Apr-2015",8400.4,8449.95,8284.7,8429.7,176926942,10002.48
"23-Apr-2015",8478.2,8504.95,8361.85,8398.3,169840748,9801.34
"24-Apr-2015",8405.7,8413.3,8273.35,8305.25,177843969,10984.24
"27-Apr-2015",8330.55,8334.45,8202.35,8213.8,174706337,10143.36
"28-Apr-2015",8215.55,8308,8185.15,8285.6,183754628,9560.13
"29-Apr-2015",8274.8,8308.2,8219.2,8239.75,174958511,8571.95
"30-Apr-2015",8224.5,8229.4,8144.75,8181.5,281696257,14755.35
"04-May-2015",8230.05,8346,8220.45,8331.95,136913823,7856.18
"05-May-2015",8338.4,8355.65,8280.6,8324.8,156019941,8138.54
"06-May-2015",8316.6,8331.95,8083,8097,212509839,10894.12
"07-May-2015",8077,8122.6,7997.15,8057.3,166563657,8443.96
"08-May-2015",8131.5,8224.95,8123.45,8191.5,188776090,8961.33
"11-May-2015",8243.2,8332.75,8224.65,8325.25,197882948,8396.12
"12-May-2015",8326.15,8326.65,8115.3,8126.95,178753978,8779.53
"13-May-2015",8181.55,8254.95,8089.8,8235.45,175015183,8391.93
"14-May-2015",8232.45,8236.25,8137.3,8224.2,138964395,6763.72
"15-May-2015",8240.3,8279.2,8212.2,8262.35,133838055,6463.64
"18-May-2015",8284.95,8384.6,8271.95,8373.65,153340463,7459.18
"19-May-2015",8356.2,8427.8,8335,8365.65,144642344,7266.52
"20-May-2015",8392.65,8440.35,8391.45,8423.25,127388797,6151.44
"21-May-2015",8434.5,8446.35,8382.5,8421,148189485,7641.6
"22-May-2015",8432.5,8489.55,8420.6,8458.95,193080657,8261.69
"25-May-2015",8438.15,8441.95,8364.15,8370.25,125051166,5555.29
"26-May-2015",8377.1,8378.9,8320.05,8339.35,120428892,5908.3
"27-May-2015",8302.75,8342.85,8277.95,8334.6,170583401,8131.59
"28-May-2015",8345.7,8364.5,8270.15,8319,239549060,11449.91
"29-May-2015",8327.1,8443.9,8305.7,8433.65,375232198,20736.2
"01-Jun-2015",8417.25,8467.15,8405.4,8433.4,125990614,7254.01
"02-Jun-2015",8442.8,8445.35,8226.05,8236.45,151337661,8083.17
"03-Jun-2015",8232.45,8236.7,8094.15,8135.1,176661646,7920.26
"04-Jun-2015",8155.15,8160.05,8056.75,8130.65,159470840,7560.49
"05-Jun-2015",8119.15,8191,8100.15,8114.7,167055308,7588.4
"08-Jun-2015",8124.35,8131,8030.55,8044.15,140075743,6230.61
"09-Jun-2015",8026.5,8057.15,8005.15,8022.4,140217686,6442.05
"10-Jun-2015",8024.15,8152.25,8023.8,8124.45,141030200,6790.27
"11-Jun-2015",8157.3,8163.05,7958.25,7965.35,171348959,7868.44
